N,P,K,temperature,humidity,ph,rainfall,label,land_size,water_supply,preference_cereals,preference_vegetables,preference_fruits
71.0,54.0,16.0,22.61,63.69,5.75,9.79,Maize,1.766,0,1,0,0
61.0,44.0,17.0,26.1,71.57,6.93,46.94,Maize,2.331,1,1,0,0
80.0,43.0,16.0,23.56,71.59,6.66,9.92,Maize,8.689,0,1,0,0
73.0,58.0,21.0,19.97,57.68,6.6,25.25,Maize,7.16,0,1,0,0
61.0,38.0,20.0,18.48,62.7,5.97,9.59,Maize,8.708,0,1,0,0
68.0,41.0,16.0,21.78,57.81,6.16,86.0,Maize,2.198,1,1,0,0
93.0,41.0,17.0,25.62,66.5,6.05,6.16,Maize,6.102,0,1,0,0
89.0,60.0,19.0,25.19,66.69,5.91,35.31,Maize,3.508,1,1,0,0
76.0,44.0,17.0,20.42,62.55,5.86,95.62,Maize,1.18,1,1,0,0
67.0,60.0,25.0,24.92,66.79,5.75,101.89,Maize,5.352,1,1,0,0
70.0,44.0,19.0,23.32,73.45,5.85,152.34,Maize,4.61,0,1,0,0
90.0,49.0,21.0,24.84,68.36,6.47,1.23,Maize,8.419,1,1,0,0
62.0,52.0,16.0,22.28,58.84,6.97,86.33,Maize,8.233,1,1,0,0
92.0,44.0,16.0,18.88,65.77,6.08,9.16,Maize,9.276,1,1,0,0
66.0,54.0,21.0,25.19,60.2,5.92,9.67,Maize,7.251,1,1,0,0
63.0,58.0,22.0,18.25,55.28,6.2,47.86,Maize,9.071,0,1,0,0
70.0,47.0,17.0,24.61,70.42,6.6,25.3,Maize,5.782,0,1,0,0
61.0,41.0,17.0,25.14,65.26,6.02,39.38,Maize,4.105,1,1,0,0
66.0,53.0,19.0,23.09,60.12,6.03,8.71,Maize,8.986,1,1,0,0
74.0,55.0,19.0,18.05,62.89,6.29,9.3,Maize,5.43,0,1,0,0
77.0,57.0,21.0,24.93,73.8,6.55,1.39,Maize,6.642,0,1,0,0
99.0,50.0,15.0,18.15,71.09,5.57,28.98,Maize,1.579,0,1,0,0
74.0,56.0,22.0,18.28,66.66,6.83,24.85,Maize,1.217,0,1,0,0
83.0,45.0,21.0,18.83,58.75,5.72,17.25,Maize,4.051,1,1,0,0
100.0,48.0,16.0,25.72,67.22,5.55,34.82,Maize,2.001,1,1,0,0
79.0,51.0,16.0,25.34,68.5,6.59,9.7,Maize,2.28,0,1,0,0
94.0,39.0,18.0,23.89,57.49,5.89,7.53,Maize,2.314,0,1,0,0
75.0,49.0,15.0,21.54,71.51,5.92,2.66,Maize,7.426,1,1,0,0
78.0,48.0,22.0,23.09,63.1,5.59,27.07,Maize,2.659,1,1,0,0
87.0,54.0,20.0,25.62,63.47,6.58,73.59,Maize,6.876,1,1,0,0
87.0,35.0,25.0,21.45,63.16,6.18,4.45,Maize,7.916,1,1,0,0
63.0,43.0,19.0,18.52,55.53,6.64,16.62,Maize,2.699,1,1,0,0
84.0,57.0,25.0,22.54,67.99,6.49,61.34,Maize,3.176,1,1,0,0
64.0,35.0,23.0,23.02,61.89,5.68,9.54,Maize,8.006,0,1,0,0
60.0,46.0,22.0,24.89,65.61,6.63,45.03,Maize,2.516,1,1,0,0
98.0,44.0,21.0,25.77,74.09,6.52,39.06,Maize,8.932,1,1,0,0
75.0,56.0,18.0,19.4,62.36,5.7,4.36,Maize,4.468,1,1,0,0
86.0,55.0,21.0,21.54,59.64,6.8,1.71,Maize,4.352,0,1,0,0
98.0,35.0,18.0,23.8,74.83,6.25,21.57,Maize,3.541,0,1,0,0
76.0,57.0,18.0,18.98,74.53,6.09,7.62,Maize,3.811,1,1,0,0
99.0,56.0,17.0,24.11,73.13,6.23,10.36,Maize,7.377,1,1,0,0
60.0,44.0,23.0,24.79,70.05,5.72,62.32,Maize,2.281,1,1,0,0
74.0,48.0,17.0,21.63,60.28,6.43,37.88,Maize,9.034,1,1,0,0
89.0,60.0,17.0,25.38,57.21,5.98,3.73,Maize,1.036,1,1,0,0
69.0,51.0,23.0,22.22,72.85,6.8,1.28,Maize,3.33,1,1,0,0
96.0,46.0,22.0,20.58,69.0,6.5,75.33,Maize,2.438,0,1,0,0
61.0,60.0,15.0,24.88,68.74,6.27,1.15,Maize,2.999,0,1,0,0
74.0,58.0,18.0,20.04,56.36,6.73,9.69,Maize,4.227,1,1,0,0
74.0,43.0,23.0,25.95,61.89,6.33,79.92,Maize,3.525,1,1,0,0
63.0,43.0,17.0,19.29,65.47,6.81,30.13,Maize,9.957,0,1,0,0
99.0,36.0,20.0,20.58,65.35,6.67,2.91,Maize,9.922,1,1,0,0
77.0,36.0,23.0,24.71,56.73,6.65,5.66,Maize,7.923,0,1,0,0
87.0,60.0,23.0,20.27,63.91,6.44,7.96,Maize,7.81,0,1,0,0
60.0,38.0,17.0,18.42,64.24,6.47,95.18,Maize,8.319,0,1,0,0
94.0,54.0,17.0,23.39,61.74,5.87,23.01,Maize,3.95,1,1,0,0
95.0,38.0,22.0,19.85,61.25,5.73,18.38,Maize,1.95,1,1,0,0
84.0,44.0,21.0,21.87,61.91,5.85,7.88,Maize,9.182,1,1,0,0
77.0,58.0,19.0,22.81,56.51,5.79,41.72,Maize,7.03,0,1,0,0
66.0,44.0,20.0,19.08,69.02,6.74,7.5,Maize,6.908,0,1,0,0
63.0,35.0,16.0,22.03,65.36,6.27,10.21,Maize,8.651,0,1,0,0
79.0,45.0,20.0,23.81,59.25,5.72,148.56,Maize,2.182,0,1,0,0
72.0,60.0,25.0,18.53,69.03,5.77,49.41,Maize,7.686,0,1,0,0
67.0,51.0,24.0,23.5,61.32,5.58,50.35,Maize,3.604,1,1,0,0
86.0,36.0,24.0,26.55,72.89,5.79,6.81,Maize,6.799,1,1,0,0
76.0,48.0,18.0,19.3,69.63,5.78,36.89,Maize,3.608,1,1,0,0
75.0,53.0,18.0,20.69,59.44,6.86,2.08,Maize,3.412,0,1,0,0
81.0,45.0,23.0,19.33,68.03,6.19,125.24,Maize,6.189,0,1,0,0
73.0,45.0,21.0,24.61,73.59,6.64,37.74,Maize,5.975,0,1,0,0
71.0,35.0,24.0,22.27,59.52,5.83,3.29,Maize,5.046,1,1,0,0
96.0,54.0,22.0,25.7,61.33,6.96,6.94,Maize,9.365,1,1,0,0
99.0,39.0,18.0,19.2,68.31,6.11,6.99,Maize,7.124,1,1,0,0
62.0,48.0,20.0,21.7,60.47,6.71,4.21,Maize,5.356,1,1,0,0
86.0,37.0,16.0,20.52,59.21,5.56,32.43,Maize,2.43,0,1,0,0
94.0,50.0,19.0,23.3,73.63,5.87,9.84,Maize,1.925,0,1,0,0
76.0,39.0,24.0,24.25,55.65,7.0,34.87,Maize,8.445,1,1,0,0
77.0,52.0,17.0,24.86,65.74,5.71,3.79,Maize,1.537,0,1,0,0
74.0,39.0,23.0,22.63,65.77,6.78,20.28,Maize,5.244,0,1,0,0
81.0,49.0,20.0,18.04,60.61,5.51,88.01,Maize,3.583,1,1,0,0
63.0,42.0,21.0,23.26,72.33,5.8,59.28,Maize,9.248,0,1,0,0
99.0,38.0,21.0,22.88,71.6,6.35,124.14,Maize,2.587,0,1,0,0
90.0,52.0,25.0,25.97,69.36,6.82,40.82,Maize,9.851,1,1,0,0
68.0,40.0,19.0,26.14,66.21,6.66,8.71,Maize,5.713,0,1,0,0
60.0,57.0,24.0,18.66,61.55,6.12,7.89,Maize,8.096,0,1,0,0
71.0,52.0,18.0,25.11,55.98,5.79,8.51,Maize,9.208,1,1,0,0
61.0,59.0,17.0,23.34,59.25,6.47,74.05,Maize,5.241,1,1,0,0
88.0,38.0,15.0,25.08,65.92,6.46,3.7,Maize,7.827,1,1,0,0
65.0,60.0,22.0,25.37,72.52,6.61,2.14,Maize,2.991,0,1,0,0
78.0,37.0,22.0,25.34,63.32,6.33,187.14,Maize,1.453,1,1,0,0
78.0,58.0,15.0,25.01,67.82,6.53,51.49,Maize,4.67,1,1,0,0
92.0,60.0,23.0,18.67,71.52,5.72,9.93,Maize,6.23,1,1,0,0
79.0,59.0,17.0,20.38,63.74,6.64,7.34,Maize,1.077,1,1,0,0
91.0,55.0,15.0,18.09,72.61,6.38,45.58,Maize,7.393,0,1,0,0
76.0,51.0,18.0,26.17,71.96,6.25,187.69,Maize,4.499,1,1,0,0
87.0,48.0,25.0,18.65,61.38,6.66,9.36,Maize,9.271,0,1,0,0
71.0,60.0,22.0,26.07,59.37,6.2,89.74,Maize,5.251,1,1,0,0
90.0,57.0,24.0,18.93,72.8,6.16,4.45,Maize,4.046,0,1,0,0
67.0,35.0,22.0,23.31,63.25,6.39,2.85,Maize,5.928,1,1,0,0
60.0,54.0,19.0,18.75,62.5,6.42,181.12,Maize,5.537,0,1,0,0
83.0,58.0,23.0,19.74,59.66,6.38,9.96,Maize,9.635,0,1,0,0
83.0,57.0,19.0,25.73,70.75,6.88,9.26,Maize,6.488,1,1,0,0
40.0,72.0,77.0,17.02,16.99,7.49,8.53,chickpea,0.734,1,0,0,0
23.0,72.0,84.0,19.02,17.13,6.92,14.46,chickpea,0.166,0,0,0,0
39.0,58.0,85.0,17.89,15.41,6.0,2.64,chickpea,0.847,1,0,0,0
22.0,72.0,85.0,18.87,15.66,6.39,8.53,chickpea,0.2,0,0,0,0
